product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Sıcacık Ev Içi Ayakkabısı Taba/kahverengi Kaymaz Taban,29.99,70.0,57,noShipping,80,21,ONNObutik,80,1
Oba Kadın Terlik Siyah,49.9,54.9,9,noShipping,80,13,Slazenger,80,1
Kadın Z-line Önü Çapraz Ev Terliği Pudra,111.09,199.99,44,noShipping,85,16,Beyond,85,1
Byz01 Kadın Terlik,29.0,49.83,41,noShipping,83,226,Moda Frato,83,1
Alice Terlik 37 Turkuaz,24.99,0.0,0,noShipping,85,151,English Home,85,1
Bordo Kanaviçe Kadın Ev Terliği Kışlık Kapalı Yumuşak Rahat Terlik Nakışlı Çeyiz Bohça Terliği,26.44,59.98,55,noShipping,93,3,Modafırsat,93,1
Ev Terliği Fuşya Ayakkabı Havuzu,17.99,32.99,45,noShipping,94,10,ayakkabıhavuzu,94,1
Ev Ayakkabısı - Siyah - Ayakkabı Havuzu,19.99,49.99,60,noShipping,91,14,ayakkabıhavuzu,91,1
Kadın Beyaz Terlik Petli Yumuşak Terlik Çeyiz Bohça Terliği Şık Zarif Misafir Terliği,19.39,0.0,0,noShipping,86,148,Modafırsat,86,1
13195 Lacivert Kadın Kaydırmaz Havuz Deniz Terlik,49.99,69.99,28,noShipping,80,5,GEZER,80,1
Kadın Krem Tüylü Ev Terliği,39.99,85.0,52,noShipping,84,120,Roeteks & Riyam,84,1
Novelido Yüksek Taban Siyah - Beyaz Kadın Sabo Terlik Masaj Tabanlı Hafif Meyveli,49.99,69.99,28,noShipping,75,29,İmerShoes,75,1
Kadın Kirazlı Ev Terliği Kışlık Terlik,44.9,69.9,35,noShipping,88,87,StWenn,88,1
Kirazlı Kadın Ev Terliği Kışlık Terlik,43.55,83.17,47,noShipping,85,48,Moda Frato,85,1
Kadın Ponponlu Ev Terliği Siyah,66.65,199.99,66,noShipping,93,34,Beyond,93,1
Kahve Erkek Peluşlu Ev Terliği,44.99,59.99,25,noShipping,79,43,Ekol Ayakkabi,79,1
Kadın Siyah Parmak Arası Plaj Terliği Flipflop,19.9,0.0,0,noShipping,90,450,Bermody,90,1
Capone E010 Kadın Kış Terliği,59.98,0.0,0,noShipping,93,122,Capone Outfitters,93,1
Kadın Kahverengi Leopar Desenli Önü Açık Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,83,6,Chochili,83,1
Ev Terliği Ses Yapmaz Yumuşak Taban,29.9,69.9,57,noShipping,80,3,Fogs,80,1
Capone E010 Kadın Kış Terliği,59.98,0.0,0,noShipping,99,19,Capone Outfitters,99,1
Unisex Önü Kapalı Günlük Terlik Banyo Tuvalet Iş Havuz Bahçe Terliği Yıkanabilir Koku Yapmaz Terlik,89.99,99.99,10,noShipping,87,8,Modafırsat,87,1
Unisex Peluşlu Ev Terliği,27.98,89.9,68,noShipping,88,21,Ekol Ayakkabi,88,1
Siyah Kaydırmaz Taban Dikişli Terlik,49.5,129.9,61,noShipping,94,24,GEZER,94,1
Byz01 Kadın Terlik,29.0,49.83,41,noShipping,81,686,Moda Frato,81,1
Modafrato Byz33 Çapraz Kadın Ev Terliği Kışlık Yünlü Terlik,29.0,49.83,41,noShipping,87,60,Moda Frato,87,1
Ekose Havlu Kumaş Kadın Terlik Ev Terliği,39.1,79.8,51,noShipping,100,1,MorHanem,100,1
Fiyonklu Kadife Terlik - Pembe,29.9,50.0,40,noShipping,91,12,pufidy,91,1
Unisex Sarı Limon Desenli Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,91,60,Chochili,91,1
Rahat Tabanlı Çapraz Kadın Beyaz Terlik,17.99,49.99,64,noShipping,91,14,westy,91,1
Kadın Siyah Örgü Terlik,29.99,32.99,9,noShipping,74,29,ayakkabıhavuzu,74,1
Lacivert Puantiye Kadın Önü Kapalı Terlik Peluş Yıkanabilir Kışlık Ev Terliği Misafir Çeyiz Terliği,49.95,59.99,16,noShipping,85,17,Modafırsat,85,1
Smt-01 Açık Kadın Ev Terliği Kışlık Terlik,29.0,49.83,41,noShipping,84,135,Moda Frato,84,1
Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,29.9,59.0,49,noShipping,88,49,StWenn,88,1
Kadın Gri Antibacterial Ortapedik Termo Termal Taban Ev Terliği,39.99,85.0,52,noShipping,78,116,Roeteks & Riyam,78,1
Passıon Erkek Ev Terliği Kışlık Terlik,38.7,66.5,41,noShipping,92,49,Moda Frato,92,1
Unisex Mavi Pizzalı Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,82,98,Chochili,82,1
Pukka Içi Kürklü Ev Terliği,29.99,79.99,62,noShipping,100,2,UCC,100,1
Leopar Kadın Önü Kapalı Terlik Peluş Yıkanabilir Kışlık Ev Terliği Misafir Çeyiz Bohça Terliği,49.95,59.99,16,noShipping,90,40,Modafırsat,90,1
Mor Hanem Kışlık Kapalı Kadın Ev Terliği,26.36,53.8,51,noShipping,77,47,MorHanem,77,1
Terlik Beyaz,34.0,67.99,49,noShipping,80,2,ayakkabıhavuzu,80,1
Kadın Gri Antibacterial Ortapedik Termo Termal Taban Ev Terliği,39.99,85.0,52,noShipping,78,116,Roeteks & Riyam,78,1
Lacivert Kanaviçe Kadın Ev Terliği Kışlık Kapalı Yumuşak Rahat Terlik Nakışlı Çeyiz Bohça Terliği,26.44,59.98,55,noShipping,100,2,Modafırsat,100,1
Kadın Terlik,11.0,21.99,49,noShipping,88,7,ayakkabıhavuzu,88,1
3’lü Kadın Ev Terligi,49.0,89.99,45,noShipping,83,55,EBRULİ BUTİK06,83,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,39.9,69.9,42,noShipping,84,59,Fogs,84,1
Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,29.9,59.0,49,noShipping,88,49,StWenn,88,1
Peace Star Kadın Ev Terlik Lacivert,69.99,0.0,0,noShipping,87,297,English Home,87,1
Kadın Tavşan Figürlü Panduf Ev Terliği Ses Yapmaz Taban,49.9,149.9,66,noShipping,91,77,NOVİNS,91,1
Stwenn Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,21.99,0.0,0,noShipping,76,2466,Nmoda,76,1
Pukka Collection Içi Kürklü Ev Terliği,19.99,0.0,0,noShipping,100,2,UCC,100,1
Islak Zemin Terliği,38.6,49.99,22,noShipping,86,110,GEZER,86,1
Gezer Banyo -hamam- Balkon -lavabo Terliği Lacivert Önü Kapalı,29.9,45.0,33,noShipping,96,12,PNR TERLİK,96,1
Unisex Beyaz Havlu Terlik,26.5,65.0,59,noShipping,89,21,HİSARAKSESUAR,89,1
Ucc Unisex Pofuduk Peluşlu Ev Terliği,24.99,69.99,64,noShipping,100,7,JOTAA,100,1
Unisex İçi Peluş Kaydırmaz Taban Panduf,39.0,89.0,56,noShipping,77,7,UCC,77,1
Fiyonklu Kadife Terlik - Antrasit,29.9,50.0,40,noShipping,74,17,pufidy,74,1
Kışlık Yıkanabilir Erkek Ev Terlik,34.9,79.99,56,noShipping,92,8,GEZER,92,1
Çift Toka Eva Günlük Terlik (haki),29.99,0.0,0,noShipping,91,17,Chiweva,91,1
Ev Terliği Pembe Leopar,19.0,37.99,49,noShipping,96,12,ayakkabıhavuzu,96,1
Kadın Ev Terliği Kirazlı Ev Terliği Kışlık Terlik,44.9,69.9,35,noShipping,90,35,StWenn,90,1
Fiyonklu Kadife Terlik - Vizon,29.9,50.0,40,noShipping,65,18,pufidy,65,1
Çapraz Kadın Ev Terliği Kışlık Yünlü Terlik,29.0,49.83,41,noShipping,82,38,Moda Frato,82,1
Kadın Ev Terliği Pofuduk Çapraz Ev Terliği,29.9,49.9,40,noShipping,89,150,StWenn,89,1
Renkli Desen Kadın Ev Terliği,24.4,59.8,59,noShipping,86,6,MorHanem,86,1
Ucc Unisex Pofuduk Peluşlu Ev Terliği Taba,24.99,69.99,64,noShipping,100,5,JOTAA,100,1
Kadın Turkuaz Dondurma Desenli Önü Açık Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,81,24,Chochili,81,1
Peace Star Kadın Ev Terlik Lacivert,69.99,0.0,0,noShipping,87,297,English Home,87,1
Kilim Desen Yumuşacık Ev Terliği,16.99,59.99,71,noShipping,95,8,TROYAN 1868,95,1
Kadın Tavşan Figürlü Panduf Ev Terliği Ses Yapmaz Taban,49.9,149.9,66,noShipping,91,77,NOVİNS,91,1
Siyah Kadın Hitit Ev Terliği Kışlık Kapalı Yumuşak Taban Rahat Terlik Nakışlı Çeyiz Bohça Terliği,26.44,59.98,55,noShipping,95,52,Modafırsat,95,1
Kadın Siyah Çapraz Peluş Ev Terliği,24.99,49.99,50,noShipping,86,44,westy,86,1
Bordo Kadın Çapraz Peluş Terlik Pofuduk Kürklü Ev Terliği Şık Misafir Çeyiz Bohça Günlük Terlik,49.98,69.99,28,noShipping,78,26,Modafırsat,78,1
Lacivert Kanaviçe Kadın Ev Terliği Kışlık Kapalı Yumuşak Rahat Terlik Nakışlı Çeyiz Bohça Terliği,26.44,59.98,55,noShipping,100,2,Modafırsat,100,1
Kışlık Kadın Ev Terlik,39.9,89.9,55,noShipping,60,1,GEZER,60,1
Ev Terliği - Fuşya - Ayakkabı Havuzu,18.0,39.99,54,noShipping,77,14,ayakkabıhavuzu,77,1
Kadın Lacivert Çift Toka Eva Günlük Terlik,29.99,0.0,0,noShipping,95,54,Chiweva,95,1
Krem Kadın Rabbit Yumuşak Gondol Ev Terliği,111.09,249.99,55,noShipping,100,1,Beyond,100,1
Unisex Siyah Peluş Ev Botu,39.7,59.99,33,noShipping,78,23,UCC,78,1
Kadın Gri Ev Terliği,19.9,0.0,0,noShipping,65,2326,MUGGO,65,1
Gezer Banyo -hamam- Balkon -lavabo Terliği Lacivert Önü Kapalı,29.9,45.0,33,noShipping,96,12,PNR TERLİK,96,1
Yumuşacaık Misafir Bohça Terliği,17.8,59.99,70,noShipping,93,41,Nmoda,93,1
Alice Terlik 37 Nude,24.99,0.0,0,noShipping,82,144,English Home,82,1
Unisex Içi Peluş Kaydırmaz Taban Ev Terliği Siyah,55.53,199.99,72,noShipping,87,19,Beyond,87,1
Kadın Beyaz Flamingo Desenli Önü Açık Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,75,32,Chochili,75,1
Kadın Gri Kedili Yumuşak Taban Kışlık Ev Terliği,33.75,79.99,57,noShipping,89,52,GEZER,89,1
Capone E010 Kadın Kış Terliği,59.98,0.0,0,noShipping,86,20,Capone Outfitters,86,1
Beyaz Zebra Kadın Önü Kapalı Terlik Peluş Ev Terliği Kışlık Ses Yapmaz Terlik Çeyiz Bohça Terliği,49.95,59.99,16,noShipping,94,34,Modafırsat,94,1
2108t Kadın Terlik,86.0,105.0,18,noShipping,70,14,LETOON,70,1
Kırmızı Kar Tanesi Kadın Önü Kapalı Terlik Peluş Ev Terliği Kışlık Ses Yapmaz Çeyiz Bohça Terliği,49.95,59.99,16,noShipping,81,23,Modafırsat,81,1
Terlik Bebe Mavisi Ayakkabı Havuzu,34.99,64.99,46,noShipping,90,2,ayakkabıhavuzu,90,1
Stwenn Kadın Ev Terliği Yumuşak Taban Çeyiz Ve Bohça Terliği,28.4,80.0,64,noShipping,76,2047,Nmoda,76,1
Kaydırmaz Banyo Balkon Bahçe Ev Içi Rahat Taban Terlik,23.8,39.99,40,noShipping,90,59,GEZER,90,1
